DRIVER,NAT,TEAM,EXP,RAC,AWA,PAC,RTG
Max Verstappen,The Netherlands,Red Bull,84,97,85,95,94
Fernando Alonso,Spain,Aston Martin,99,91,78,93,92
Lewis Hamilton,England,Mercedes-AMG Petronas,97,94,94,90,92
Charles Leclerc,Monaco,Ferrari,77,92,85,90,89
Lando Norris,England,McLaren,76,91,79,91,89
Sergio Perez,Mexico,Red Bull,91,93,86,87,89
Carlos Sainz Jr.,Spain,Ferrari,84,92,81,87,88
George Russell,England,Mercedes-AMG Petronas,76,87,83,91,88
Valtteri Bottas,Finland,Alfa Romeo,88,86,97,86,87
Esteban Ocon,France,Alpine,77,92,76,86,86
Pierre Gasly,France,Alpine,78,89,76,85,85
Lance Stroll,Canada,Aston Martin,79,91,78,81,84
Alexander Albon,Thailand,Williams,75,81,78,86,83
Yuki Tsunoda,Japan,AlphaTauri,69,79,75,87,83
Kevin Magnussen,Denmark,Haas,81,79,85,82,81
Nico Hulkenberg,Germany,Haas,86,79,81,80,80
Zhou Guanyu,China,Alfa Romeo,63,78,74,81,78
Oscar Piastri,Australia,McLaren,74,73,79,77,74
Logan Sargeant,United States,Williams,48,84,75,67,71
Nyck de Vries,The Netherlands,AlphaTauri,50,84,75,67,71
